Class_Name,Description,Type,id,Professor,,Unit,Attributes,Subject,Number,Unit,mon,tues,wed,thur,fri,start_time,end_time,,,,,,,,,,,,
AMES 123,HISTORY AND CULTURE OF IRAN,lec,1,Omid Safi,,1,"CCI,R,C,ALP,CZ",AMES,123,1,TRUE,FALSE,TRUE,FALSE,FALSE,1:25PM,2:40PM,,,,,,,,,,,,
AMES 127,THE MODERN MIDDLE EAST,lec,1,Adam Mestyan,,1,"CCI,C,CZ",AMES,127,1,FALSE,TRUE,FALSE,TRUE,FALSE,10:05AM,11:20AM,,,,,,,,,,,,
AMES 142,HISTORY OF CHINESE MEDICINE,lec,1,Nicole Elizabeth Barnes,,1,"CCI,STS,W,C,CZ",AMES,142,1,FALSE,TRUE,FALSE,TRUE,FALSE,10:05AM,11:20AM,,,,,,,,,,,,
AMES 145,CHINESE MUSIC ENSEMBLE,lec,1,"Hsiao-Mei Ku, Jennifer Chang",,0.5,C,AMES,145,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,4:40PM,6:40PM,,,,,,,,,,,,
AMES 151,INDIAN CINEMA,lec,1,Satendra Khanna,,1,"CCI,R,C,ALP,CZ",AMES,151,1,FALSE,TRUE,FALSE,TRUE,FALSE,3:05PM,4:20PM,,,,,,,,,,,,
AMES 157S,INDIAN CIVILIZATION,lec,1,John R Freeman,,1,"CCI,EI,W,C,CZ,SS",AMES,157,1,FALSE,TRUE,FALSE,TRUE,FALSE,3:05PM,4:20PM,,,,,,,,,,,,
AMES 167,ANCIENT AND EARLY MODERN JAPAN,lec,1,Departmental Staff,,1,"CCI,C,CZ",AMES,167,1,FALSE,FALSE,TRUE,FALSE,TRUE,8:30AM,9:45AM,,,,,,,,,,,,
AMES 195S,INTRO TO AMES,lec,1,Erdag M Goknar,,1,"CCI,CZ",AMES,195,1,TRUE,FALSE,TRUE,FALSE,FALSE,11:45AM,1:00PM,,,,,,,,,,,,
AMES 204FS,DOCUMENTING THE MIDDLE EAST,lec,1,Nancy Kalow,,1,"CCI,R,C,ALP,CZ",AMES,204,1,FALSE,FALSE,TRUE,FALSE,TRUE,10:05AM,11:20AM,,,,,,,,,,,,
AMES 205FS,LITERARY ISLAM,lec,1,Ellen McLarney,,1,"CCI,ALP,CZ",AMES,205,1,TRUE,FALSE,TRUE,FALSE,FALSE,3:05PM,4:20PM,,,,,,,,,,,,
AMES 207,SILK ROADS AND CHINA,lec,1,Sucheta Mazumdar,,1,"CCI,C,CZ",AMES,207,1,FALSE,TRUE,FALSE,TRUE,FALSE,1:25PM,2:40PM,,,,,,,,,,,,
AMES 208S,GEOPOLITICS AND CULTURE,lec,1,Erdag M Goknar,,1,"CCI,C,ALP,CZ",AMES,208,1,TRUE,FALSE,TRUE,FALSE,FALSE,3:05PM,4:20PM,,,,,,,,,,,,
AMES 210,INTRO TO THE MIDDLE EAST,lec,1,Fadi A Bardawil,,1,"CCI,C,ALP,CZ",AMES,210,1,FALSE,TRUE,FALSE,TRUE,FALSE,4:40PM,5:55PM,,,,,,,,,,,,
AMES 218,THE MIDDLE EAST THROUGH FILM,lec,1,Ozgun Eylul Iscen,,1,"CCI,EI,C,ALP,CZ",AMES,218,1,FALSE,TRUE,FALSE,FALSE,FALSE,3:05PM,5:35PM,,,,,,,,,,,,
AMES 220S,FROM AL-QAEDA TO ISIS,lec,1,Mbaye B Lo,,1,"CCI,EI,W,CZ,SS",AMES,220,1,FALSE,FALSE,FALSE,TRUE,FALSE,6:15PM,8:45PM,,,,,,,,,,,,
AMES 233,GLOBAL CHINESE CITIES,lec,1,Carlos Rojas,,1,"CCI,C,ALP,CZ",AMES,233,1,FALSE,TRUE,FALSE,TRUE,FALSE,10:05AM,11:20AM,,,,,,,,,,,,
AMES 244,ISRAEL/PALESTINE,lec,1,"Erika S Weinthal, Rebecca Stein",,1,"CCI,EI,C,SS",AMES,244,1,TRUE,FALSE,TRUE,FALSE,FALSE,10:05AM,11:20AM,,,,,,,,,,,,
AMES 247,T'AI CHI AND CHINESE THOUGHT,lec,1,David N Need,,1,"CCI,C,CZ",AMES,247,1,TRUE,FALSE,FALSE,FALSE,FALSE,4:40PM,7:10PM,,,,,,,,,,,,
AMES 275,CHINESE PHILOSOPHY,lec,1,David Wong,,1,"CCI,EI,C,CZ",AMES,275,1,FALSE,TRUE,FALSE,TRUE,FALSE,3:05PM,4:20PM,,,,,,,,,,,,
