Class_Name,Description,Type,id,Professor,Time,Unit,Attributes,Subject,Number
AMI 410S,TRAUMA IN ASIA,lec,1,Nayoung Aimee Kwon,Th 11:45AM - 2:15PM,1.0,"CCI,C,ALP,CZ",AMI,410
AMI 416S,UNDERSTANDING MEDIATION,lec,1,Markos Hadjioannou,TuTh 11:45AM - 1:00PM,1.0,"CCI,C,ALP,CZ",AMI,416
AMI 89S,FIRST YEAR SEMINAR (TOP),lec,1,Johanna (Jody) McAuliffe,TuTh 3:05PM - 4:20PM,1.0,,AMI,89
ARABIC 101,ELEMENTARY ARABIC,lec,1,Mbaye B Lo,MW 8:30AM - 9:45AM,1.0,FL,ARABIC,101
ARABIC 101,ELEMENTARY ARABIC,lec,2,Mbaye B Lo,MW 10:05AM - 11:20AM,1.0,FL,ARABIC,101
ARABIC 101,ELEMENTARY ARABIC,lec,3,Amal Boumaaza,MW 1:25PM - 2:40PM,1.0,FL,ARABIC,101
ARABIC 101,ELEMENTARY ARABIC,lec,4,Departmental Staff,MW 3:05PM - 4:20PM,1.0,FL,ARABIC,101
ARABIC 101,ELEMENTARY ARABIC,dis,1,Cheikh Saadbouh Cheikh Abdi ValL,TuTh 8:30AM - 9:20AM,1.0,FL,ARABIC,101
ARABIC 101,ELEMENTARY ARABIC,dis,2,Departmental Staff,TuTh 10:05AM - 10:55AM,1.0,FL,ARABIC,101
ARABIC 101,ELEMENTARY ARABIC,dis,3,Departmental Staff,TuTh 1:25PM - 2:15PM,1.0,FL,ARABIC,101
ARABIC 101,ELEMENTARY ARABIC,dis,4,Departmental Staff,TuTh 3:05PM - 3:55PM,1.0,FL,ARABIC,101
ARABIC 203,INTERMEDIATE ARABIC,lec,1,Amal Boumaaza,MW 10:05AM - 11:20AM,1.0,"FL,CZ",ARABIC,203
ARABIC 203,INTERMEDIATE ARABIC,lec,2,Cheikh Saadbouh Cheikh Abdi ValL,MW 11:45AM - 1:00PM,1.0,"FL,CZ",ARABIC,203
ARABIC 203,INTERMEDIATE ARABIC,dis,1,Amal Boumaaza,F 10:20AM - 11:10AM,1.0,"FL,CZ",ARABIC,203
ARABIC 203,INTERMEDIATE ARABIC,dis,2,Cheikh Saadbouh Cheikh Abdi ValL,F 11:45AM - 12:35PM,1.0,"FL,CZ",ARABIC,203
ARABIC 295,ARABIC DIALECT IN MUSIC,lec,1,Amal Boumaaza,TuTh 3:05PM - 4:20PM,1.0,"FL,CZ",ARABIC,295
ARABIC 305,ADVANCED ARABIC,lec,1,Maha Houssami,MW 10:05AM - 11:30AM,1.0,"CCI,FL,ALP",ARABIC,305
ARABIC 407,ISSUES IN ARABIC LANG/LIT I,lec,1,Maha Houssami,MW 11:45AM - 1:00PM,1.0,"CCI,FL,ALP",ARABIC,407
ARTHIST 220,MUSEUM THEORY AND PRACTICE,lec,1,Julia K McHugh,Th 11:45AM - 2:15PM,1.0,"R,ALP",ARTHIST,220
ARTHIST 231,HISTORY OF ART MARKETS,lec,1,Hans J Van Miegroet,MW 3:05PM - 4:20PM,1.0,"R,STS,C,SS",ARTHIST,231
ARTHIST 231,HISTORY OF ART MARKETS,lec,2,Hans J Van Miegroet,M 7:30PM - 10:00PM,1.0,"R,STS,C,SS",ARTHIST,231
ARTHIST 232,"JAPANESE ART, 1600-PRESENT",lec,1,Staff,TuTh 8:30AM - 9:45AM,1.0,"CCI,EI,ALP,CZ",ARTHIST,232
ARTHIST 245S,WOMEN IN VISUAL ARTS,lec,1,Susanna Caviglia,Th 10:05AM - 12:35PM,1.0,"C,ALP,CZ",ARTHIST,245
ARTHIST 283,AFRICAN AMERICAN ART,lec,1,Richard J Powell,MW 10:05AM - 11:20AM,1.0,"CCI,R,C,ALP,CZ",ARTHIST,283
ARTHIST 286D,CONTEMPORARY ARCHITECTURE,lec,1,Annabel Wharton,Tu 3:05PM - 4:20PM,1.0,"CCI,ALP,CZ",ARTHIST,286
ARTHIST 286D,CONTEMPORARY ARCHITECTURE,dis,1,Annabel Wharton,Th 3:05PM - 4:20PM,1.0,"CCI,ALP,CZ",ARTHIST,286
ARTHIST 298,HST OF IMPRESSIONISM,lec,1,Alexis M Clark,TuTh 3:05PM - 4:20PM,1.0,"CCI,ALP,CZ",ARTHIST,298
ARTHIST 305L,VIRTUAL MUSEUMS,lec,1,Maurizio Forte,Tu 1:25PM - 2:40PM,1.0,"R,STS,C,ALP",ARTHIST,305
ARTHIST 305L,VIRTUAL MUSEUMS,lab,1,Maurizio Forte,Th 1:25PM - 2:40PM,1.0,"R,STS,C,ALP",ARTHIST,305
ARTHIST 315,MAPPING HISTORY WITH GIS,lec,1,Timothy D Shea,M 10:05AM - 12:35PM,1.0,"STS,C,CZ",ARTHIST,315
ARTHIST 89S,FIRST-YEAR SEMINAR (TOP),lec,1,Kristin L Huffman,W 11:45AM - 2:15PM,1.0,,ARTHIST,89
ARTHIST 89S,FIRST-YEAR SEMINAR (TOP),lec,2,Maurizio Forte,TuTh 8:30AM - 9:45AM,1.0,,ARTHIST,89
ARTHIST 89S,FIRST-YEAR SEMINAR (TOP),lec,3,Esther L Gabara,TuTh 1:25PM - 2:40PM,1.0,,ARTHIST,89
ARTHIST 89S,FIRST-YEAR SEMINAR (TOP),lec,20,Departmental Staff,TuTh 1:25PM - 2:40PM,1.0,,ARTHIST,89
ARTSVIS 115S,INTRO TO B&W PHOTOGRAPHY,lec,1,Mary Sharp,F 10:05AM - 12:35PM,1.0,"C,ALP",ARTSVIS,115
ARTSVIS 119S,INTRO TO DIGITAL PHOTOGRAPHY,lec,1,Departmental Staff,M 4:40PM - 7:10PM,1.0,"C,ALP",ARTSVIS,119
ARTSVIS 119S,INTRO TO DIGITAL PHOTOGRAPHY,lec,2,Departmental Staff,TuTh 8:30AM - 9:45AM,1.0,"C,ALP",ARTSVIS,119
ARTSVIS 120,COMPOSITIONAL PAINTING,lec,1,Beverly McIver,Tu 1:25PM - 3:55PM,1.0,ALP,ARTSVIS,120
ARTSVIS 130,EXPERIMENTAL DRAWING,lec,1,William Seaman,Th 3:05PM - 5:35PM,1.0,"C,ALP",ARTSVIS,130
ARTSVIS 198,EXPERIMENTAL INTERFACE DESIGN,lec,1,William Seaman,W 11:45AM - 2:15PM,1.0,"STS,C,ALP",ARTSVIS,198
ARTSVIS 199,DRAWING,lec,1,Stephen L Hayes,Tu 1:25PM - 3:55PM,1.0,ALP,ARTSVIS,199
ARTSVIS 204S,MEDICINE AND DOCUMENTARY PHOTO,lec,1,John W Moses Jr.,Tu 6:15PM - 8:45PM,1.0,"C,ALP",ARTSVIS,204
ARTSVIS 205,INTERMEDIATE DRAWING,lec,1,William G Fick,M 1:25PM - 3:55PM,1.0,"R,ALP",ARTSVIS,205
ARTSVIS 206,DIGITAL IMAGING,lec,1,Augustus E Wendell,TuTh 3:05PM - 4:20PM,1.0,"C,ALP",ARTSVIS,206
ARTSVIS 210,SCULPTURE,lec,1,Stephen L Hayes,Tu 4:40PM - 7:10PM,1.0,ALP,ARTSVIS,210
ARTSVIS 212FS,DIGITAL DOCUMENTARY PHOTO,lec,1,Anna S Post-Rust,TuTh 10:05AM - 11:20AM,1.0,"EI,SL,C,ALP",ARTSVIS,212
ARTSVIS 212S,DIGITAL DOCUMENTARY PHOTO,lec,1,Anna S Post-Rust,TuTh 1:25PM - 2:40PM,1.0,"EI,SL,C,ALP",ARTSVIS,212
ARTSVIS 226,PRINTMAK:RELIEF/MONOTYPE,lec,1,William G Fick,W 1:25PM - 3:55PM,1.0,"R,ALP",ARTSVIS,226
ARTSVIS 233S,COSTUME DESIGN,lec,1,Erin M West,M 3:05PM - 5:35PM,1.0,"R,C,ALP",ARTSVIS,233
ARTSVIS 240S,COLOR PHOTOGRAPHY,lec,1,William Bamberger,M 10:05AM - 12:35PM,1.0,"C,ALP",ARTSVIS,240
